Family,Accum_btw,Treatment
uncultured Holophaga sp.,0,M+Cd
uncultured organism,0,M+Cd
uncultured Planctomycetales bacterium,0,M+Cd
uncultured planctomycete,0,M+Cd
uncultured prokaryote,0,M+Cd
uncultured proteobacterium,0,M+Cd
uncultured soil bacterium,954.1755411,M+Cd
uncultured Solibacterales bacterium,0,M+Cd
uncultured Xanthomonadales bacterium,0,M+Cd
Unknown Family,4398.551587,M+Cd
Vermiphilaceae,0,M+Cd
Verrucomicrobiaceae,0,M+Cd
Vibrionaceae,0,M+Cd
Vulgatibacteraceae,0,M+Cd
WD2101 soil group,3322.725444,M+Cd
Weeksellaceae,2245.63488,M+Cd
Xanthobacteraceae,677.0377345,M+Cd
Xanthomonadaceae,584.5,M+Cd
NA,6574.056893,M+Cd
